Intel® Product Specification Comparison
08/27/2026 11:07:26 AM
 ,Intel® Core™ Ultra 7 Processor 155H ,Intel® Core™ Ultra 5 Processor 125H ,Intel® Core™ Ultra 9 Processor 185H ,Intel® Core™ Ultra 5 Processor 135H ,Intel® Core™ Ultra 7 Processor 165H ,Intel® Core™ Ultra 7 Processor 155U ,Intel® Core™ Ultra 5 Processor 135U ,Intel® Core™ Ultra 7 Processor 165U ,Intel® Core™ Ultra 5 Processor 125U ,Intel® Core™ Ultra 5 Processor 134U ,Intel® Core™ Ultra 7 Processor 164U ,Intel® Core™ Ultra 3 Processor 105UL ,Intel® Core™ Ultra 5 Processor 125HL ,Intel® Core™ Ultra 5 Processor 125UL ,Intel® Core™ Ultra 5 Processor 135HL ,Intel® Core™ Ultra 5 Processor 135UL ,Intel® Core™ Ultra 7 Processor 155HL ,Intel® Core™ Ultra 7 Processor 155UL ,Intel® Core™ Ultra 7 Processor 165HL ,Intel® Core™ Ultra 7 Processor 165UL ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Core™ Ultra 5 Processor 235TA ,Intel® Core™ Ultra 5 Processor 235A ,Intel® Core™ Ultra 5 Processor 235UA ,Intel® Core™ Ultra X7 Processor 368H ,Intel® Core™ Ultra X9 Processor 388H ,Intel® Core™ Ultra X7 Processor 358H ,Intel® Core™ Ultra 9 Processor 386H ,Intel® Core™ Ultra 7 Processor 366H ,Intel® Core™ Ultra 5 Processor 338H ,Intel® Core™ Ultra 7 Processor 356H ,Intel® Core™ Ultra 5 Processor 336H ,Intel® Core™ Ultra 5 processor 250KF Plus ,Intel® Core™ Ultra 7 processor 270K Plus ,Intel® Core™ Ultra 5 processor 250K Plus ,Intel® Core™ Ultra 7 Processor 365 ,Intel® Core™ Ultra 5 Processor 322 ,Intel® Core™ Ultra 5 Processor 332 ,Intel® Core™ Ultra 5 Processor 325 ,Intel® Core™ Ultra 7 Processor 355 ,Intel® Core™ Ultra 5 Processor 335 ,Intel® Core™ Ultra 7 processor 251HX ,Intel® Core™ Ultra 9 processor 290HX Plus ,Intel® Core™ Ultra 7 processor 270HX Plus ,Intel® Core™ Ultra X9 processor 378H
PCI Express Revision,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,4.0,4.0,4.0,4.0,4.0 and 3.0,4.0 and 3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,4.0,4.0,4.0,4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0
PCI Express Configurations ‡,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),1x4 4.0 + 1x4 (x1 | x2 | x4) 4.0 + 1x4 (x1 | x2 | x4) 3.0,1x4 4.0 + 1x4 (x1 | x2 | x4) 4.0 + 1x4 (x1 | x2 | x4) 3.0,3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,1x4 (x2 | x4) 5.0 + 1x4 (x1 | x2 | x4) 4.0,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,1x8 5.0 + 3x4 4.0 + 2x4 (x1 | x2 | x4) 4.0,3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),3x4 + 2x4 (x1 | x2 | x4),Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,3x4 + 2x4 (x1 | x2 | x4),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4)
x4 PCIe5 (1x4 |  2x2)
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4)
x4 PCIe5 (1x4 |  2x2)
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4)
x4 PCIe5 (1x4 |  2x2)
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x8 PCIe5 (1x8 |  2x4)x4 PCIe5 (1x4 |  2x2)x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 |  1x8+4x4,x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) |
x4 PCIe4 (1x4 |  2x2 |  4x1)
x4 PCIe4 (1x4 |  2x2 |  4x1),x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1),1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,1x16+2x4 |  2x8+2x4 |  1x8+4x4,x4 PCIe5 (1x4 | 2x2) | x4 PCIe4 (1x4 |  2x2 |  4x1)x4 PCIe4 (1x4 |  2x2 |  4x1)
Max # of PCI Express Lanes,28,28,28,28,28,20,20,20,20,12,12,20,20,20,20,20,20,20,20,20,8,8,8,8,8,8,8,8,8,24,24,24,24,24,24,24,24,24,24,24,24,24,28,28,28,28,28,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,20,12,12,12,20,20,12,20,20,24,24,24,12,12,12,12,12,12,24,24,24,12
Direct Media Interface (DMI) Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,4,4,4,,,,,,,4,4,4,
Max # of DMI Lanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,8,8,8,,,,,,,8,8,8,
Scalability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,,,,,,,1S Only,1S Only,,,,,,,,,,1S Only,1S Only,1S Only,,,,,,,,,,

Package Specifications
Sockets Supported,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2551,FCBGA2551,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCBGA2049,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2114,FCLGA1851,FCLGA1851,,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCLGA1851,FCLGA1851,FCLGA1851,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2540,FCBGA2114,FCBGA2114,FCBGA2114,FCBGA2540
Max Operating Temperature,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,110 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,105 °C,110 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,105 °C,105 °C,105 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,105 °C,105 °C,105 °C,100 °C
Package Size,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,23 mm x 19 mm,23 mm x 19 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5mm,45mm x 37.5 mm,45mm x 37.5mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,27.5 mm x 27 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,50 mm x 25 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,50 mm x 25 mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,45 mm x 37.5 mm,45 mm x 37.5 mm,45 mm x 37.5 mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,50mm x 25mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,37.5 mm x 30.2 mm,50mm x 25mm
Thermal Solution Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCG 2022D,PCG 2020A,PCG 2022C,PCG 2020A,PCG 2020A,PCG 2022C,PCG 2022D,PCG 2020A,PCG 2020A,PCG 2022C,PCG 2022C,PCG 2022C,PCG 2022C,,,,,,,,,,PCG 2022D,PCG 2022D,PCG 2022D,PCG 2022C,,,,,,,PCG 2022D,PCG 2022C,,,,,,,,,,PCG 2020A,PCG 2020A,PCG 2020A,,,,,,,,,,

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,3.5,3.5,3.5,,,,,,,3.5,3.5,3.5,
Intel® Thread Director,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Smart Sound Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Wake on Voice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® High Definition Audio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Adaptix™ Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,,Yes,Yes,Yes,No,No,Yes,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,No,No,No,,,,,,,No,No,No,
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
